Economy,Code,numeric_code,Region,Income group,North-North,North-South,South-South
Guyana,GUY,328,Latin America & Caribbean,High income,0,5,14
"Hong Kong SAR, China",HKG,344,East Asia & Pacific,High income,0,3,5
Honduras,HND,340,Latin America & Caribbean,Lower middle income,0,4,18
Croatia,HRV,191,Europe & Central Asia,High income,0,45,14
Haiti,HTI,332,Latin America & Caribbean,Lower middle income,0,1,3
Hungary,HUN,348,Europe & Central Asia,High income,0,49,7
Indonesia,IDN,360,East Asia & Pacific,Upper middle income,0,6,13
Isle of Man,IMN,833,Europe & Central Asia,High income,0,0,0
India,IND,356,South Asia,Lower middle income,0,3,23
Ireland,IRL,372,Europe & Central Asia,High income,0,65,0
"Iran, Islamic Rep.",IRN,364,Middle East & North Africa,Lower middle income,0,0,9
Iraq,IRQ,368,Middle East & North Africa,Upper middle income,0,0,23
Iceland,ISL,352,Europe & Central Asia,High income,3,47,0
Israel,ISR,376,Middle East & North Africa,High income,4,21,0
Italy,ITA,380,Europe & Central Asia,High income,3,70,0
Jamaica,JAM,388,Latin America & Caribbean,Upper middle income,0,5,9
Jordan,JOR,400,Middle East & North Africa,Lower middle income,0,6,32
Japan,JPN,392,East Asia & Pacific,High income,4,17,0
Kazakhstan,KAZ,398,Europe & Central Asia,Upper middle income,0,1,25
Kenya,KEN,404,Sub-Saharan Africa,Lower middle income,0,8,8
Kyrgyz Republic,KGZ,417,Europe & Central Asia,Lower middle income,0,0,20
Cambodia,KHM,116,East Asia & Pacific,Lower middle income,0,3,8
Kiribati,KIR,296,East Asia & Pacific,Lower middle income,0,5,1
St. Kitts and Nevis,KNA,659,Latin America & Caribbean,High income,0,3,11
"Korea, Rep.",KOR,410,East Asia & Pacific,High income,0,9,16
Kuwait,KWT,414,Middle East & North Africa,High income,0,1,12
Lao PDR,LAO,418,East Asia & Pacific,Lower middle income,0,4,9
Lebanon,LBN,422,Middle East & North Africa,Lower middle income,0,4,15
Liberia,LBR,430,Sub-Saharan Africa,Low income,0,5,5
Libya,LBY,434,Middle East & North Africa,Upper middle income,0,0,14
St. Lucia,LCA,662,Latin America & Caribbean,Upper middle income,0,4,11
Liechtenstein,LIE,438,Europe & Central Asia,High income,0,44,0
Sri Lanka,LKA,144,South Asia,Lower middle income,0,0,9
Lesotho,LSO,426,Sub-Saharan Africa,Lower middle income,0,7,10
Lithuania,LTU,440,Europe & Central Asia,High income,0,52,13
Luxembourg,LUX,442,Europe & Central Asia,High income,4,70,0
Latvia,LVA,428,Europe & Central Asia,High income,0,52,12
"Macao SAR, China",MAC,446,East Asia & Pacific,High income,0,0,2
St. Martin (French part),MAF,663,Latin America & Caribbean,High income,0,0,0
Morocco,MAR,504,Middle East & North Africa,Lower middle income,0,5,23
Monaco,MCO,492,Europe & Central Asia,High income,0,1,0
Moldova,MDA,498,Europe & Central Asia,Upper middle income,0,3,25
Madagascar,MDG,450,Sub-Saharan Africa,Low income,0,7,8
Maldives,MDV,462,South Asia,Upper middle income,0,0,3
Mexico,MEX,484,Latin America & Caribbean,Upper middle income,0,9,35
Marshall Islands,MHL,584,East Asia & Pacific,Upper middle income,0,1,0
North Macedonia,MKD,807,Europe & Central Asia,Upper middle income,0,2,16
Mali,MLI,466,Sub-Saharan Africa,Low income,0,7,9
Malta,MLT,470,Middle East & North Africa,High income,0,46,1
Myanmar,MMR,104,East Asia & Pacific,Lower middle income,0,3,6
Montenegro,MNE,499,Europe & Central Asia,Upper middle income,0,2,4
Mongolia,MNG,496,East Asia & Pacific,Lower middle income,0,1,1
Northern Mariana Islands,MNP,580,East Asia & Pacific,High income,0,0,0
Mozambique,MOZ,508,Sub-Saharan Africa,Low income,0,4,9
Mauritania,MRT,478,Sub-Saharan Africa,Lower middle income,0,7,11
Mauritius,MUS,480,Sub-Saharan Africa,Upper middle income,0,5,13
Malawi,MWI,454,Sub-Saharan Africa,Low income,0,4,13
Malaysia,MYS,458,East Asia & Pacific,Upper middle income,0,8,13
Namibia,NAM,516,Sub-Saharan Africa,Upper middle income,0,3,11
New Caledonia,NCL,540,East Asia & Pacific,High income,0,0,0
Niger,NER,562,Sub-Saharan Africa,Low income,0,7,9
Nigeria,NGA,566,Sub-Saharan Africa,Lower middle income,0,5,6
Nicaragua,NIC,558,Latin America & Caribbean,Lower middle income,0,3,17
Netherlands,NLD,528,Europe & Central Asia,High income,4,70,0
Norway,NOR,578,Europe & Central Asia,High income,4,47,0
Nepal,NPL,524,South Asia,Lower middle income,0,0,4
Nauru,NRU,520,East Asia & Pacific,High income,0,1,1
New Zealand,NZL,554,East Asia & Pacific,High income,4,15,0
Oman,OMN,512,Middle East & North Africa,High income,0,2,6
Pakistan,PAK,586,South Asia,Lower middle income,0,1,16
Panama,PAN,591,Latin America & Caribbean,High income,0,4,21
Peru,PER,604,Latin America & Caribbean,Upper middle income,0,9,30
Philippines,PHL,608,East Asia & Pacific,Lower middle income,0,6,9
Palau,PLW,585,East Asia & Pacific,Upper middle income,0,1,0
Papua New Guinea,PNG,598,East Asia & Pacific,Lower middle income,0,9,3
Poland,POL,616,Europe & Central Asia,High income,0,49,6
Puerto Rico,PRI,630,Latin America & Caribbean,High income,0,0,0
"Korea, Dem. People's Rep.",PRK,408,East Asia & Pacific,Low income,0,0,1
Portugal,PRT,620,Europe & Central Asia,High income,8,58,0
Paraguay,PRY,600,Latin America & Caribbean,Upper middle income,0,1,16
West Bank and Gaza,PSE,275,Middle East & North Africa,Upper middle income,0,1,4
French Polynesia,PYF,258,East Asia & Pacific,High income,0,0,0
Qatar,QAT,634,Middle East & North Africa,High income,0,1,9
Romania,ROU,642,Europe & Central Asia,High income,0,47,11
Russian Federation,RUS,643,Europe & Central Asia,Upper middle income,0,1,25
Rwanda,RWA,646,Sub-Saharan Africa,Low income,0,6,10
Saudi Arabia,SAU,682,Middle East & North Africa,High income,0,1,17
Sudan,SDN,729,Sub-Saharan Africa,Low income,0,4,12
Senegal,SEN,686,Sub-Saharan Africa,Lower middle income,0,7,10
Singapore,SGP,702,East Asia & Pacific,High income,0,12,20
Solomon Islands,SLB,90,East Asia & Pacific,Lower middle income,0,6,2
Sierra Leone,SLE,694,Sub-Saharan Africa,Low income,0,5,5
El Salvador,SLV,222,Latin America & Caribbean,Upper middle income,0,3,21
San Marino,SMR,674,Europe & Central Asia,High income,0,1,0
Somalia,SOM,706,Sub-Saharan Africa,Low income,0,7,6
Serbia,SRB,688,Europe & Central Asia,Upper middle income,0,5,18
South Sudan,SSD,728,Sub-Saharan Africa,Low income,0,0,2
São Tomé and Príncipe,STP,678,Sub-Saharan Africa,Lower middle income,0,3,6
Suriname,SUR,740,Latin America & Caribbean,Upper middle income,0,5,7
Slovak Republic,SVK,703,Europe & Central Asia,High income,0,48,9
Slovenia,SVN,705,Europe & Central Asia,High income,0,49,12
Sweden,SWE,752,Europe & Central Asia,High income,4,82,0
Eswatini,SWZ,748,Sub-Saharan Africa,Lower middle income,0,7,12
Sint Maarten (Dutch part),SXM,534,Latin America & Caribbean,High income,0,0,0
Seychelles,SYC,690,Sub-Saharan Africa,High income,0,4,7
Syrian Arab Republic,SYR,760,Middle East & North Africa,Low income,0,1,18
Turks and Caicos Islands,TCA,796,Latin America & Caribbean,High income,0,0,0
Chad,TCD,148,Sub-Saharan Africa,Low income,0,6,9
Togo,TGO,768,Sub-Saharan Africa,Low income,0,7,5
Thailand,THA,764,East Asia & Pacific,Upper middle income,0,6,11
Tajikistan,TJK,762,Europe & Central Asia,Lower middle income,0,0,14
Turkmenistan,TKM,795,Europe & Central Asia,Upper middle income,0,0,9
Timor-Leste,TLS,626,East Asia & Pacific,Lower middle income,0,0,0
Tonga,TON,776,East Asia & Pacific,Upper middle income,0,6,2
Trinidad and Tobago,TTO,780,Latin America & Caribbean,High income,0,5,13
Tunisia,TUN,788,Middle East & North Africa,Lower middle income,0,6,22
Türkiye,TUR,792,Europe & Central Asia,Upper middle income,0,8,39
Tuvalu,TUV,798,East Asia & Pacific,Upper middle income,0,5,1
"Taiwan, China",TWN,158,East Asia & Pacific,High income,0,1,6
Tanzania,TZA,834,Sub-Saharan Africa,Lower middle income,0,6,10
Uganda,UGA,800,Sub-Saharan Africa,Low income,0,6,8
Ukraine,UKR,804,Europe & Central Asia,Lower middle income,0,5,23
Uruguay,URY,858,Latin America & Caribbean,High income,0,2,24
United States,USA,840,North America,High income,5,17,0
Uzbekistan,UZB,860,Europe & Central Asia,Lower middle income,0,0,16
St. Vincent and the Grenadines,VCT,670,Latin America & Caribbean,Upper middle income,0,3,11
"Venezuela, RB",VEN,862,Latin America & Caribbean,,0,0,39
British Virgin Islands,VGB,92,Latin America & Caribbean,High income,0,0,0
Virgin Islands (U.S.),VIR,850,Latin America & Caribbean,High income,0,0,0
Vietnam,VNM,704,East Asia & Pacific,Lower middle income,0,8,10
Vanuatu,VUT,548,East Asia & Pacific,Lower middle income,0,3,2
Samoa,WSM,882,East Asia & Pacific,Lower middle income,0,8,1
Kosovo,XKX,,Europe & Central Asia,Upper middle income,0,0,0
"Yemen, Rep.",YEM,887,Middle East & North Africa,Low income,0,0,3
South Africa,ZAF,710,Sub-Saharan Africa,Upper middle income,0,4,14
Zambia,ZMB,894,Sub-Saharan Africa,Lower middle income,0,5,8
Zimbabwe,ZWE,716,Sub-Saharan Africa,Lower middle income,0,3,17

